fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.573963,65.05988,1,1,11.334832,2.9125946,1,1
-1024.0,64.51195,0,1,10.678825,2.756975,1,1
56.327297,64.61,1,1,10.751397,2.9219496,1,1
56.647663,65.81205,1,1,11.139635,3.1800063,1,1
-1024.0,64.91459,0,1,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.23901,0,1,10.644801,2.8762076,1,1
58.062206,65.47346,1,1,12.105366,3.1832361,1,1
57.950275,65.375694,1,1,11.588642,2.9936042,1,1
56.436718,64.51682,1,1,10.69431,2.2713895,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.827686,65.4033,1,1,11.213871,3.162281,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.58469,64.9208,1,1,11.03295,2.6167967,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.387497,65.2954,1,1,12.192293,3.0904613,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.770008,65.50844,1,1,11.246972,3.1468475,1,1
56.795765,64.50714,1,1,10.518689,2.305161,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.512634,0,1,10.802618,2.9197533,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.690105,64.75326,1,1,10.661388,2.6892202,1,1
56.706295,65.0223,1,1,10.812226,2.6417017,1,1
56.583004,-1024.0,1,0,11.508588,-1024.0,1,0
58.344677,65.00118,1,1,11.237909,-1024.0,1,0
