fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
56.569523,65.08717,1,1,11.163851,3.1029208,1,1
56.466858,65.36871,1,1,10.856142,3.287389,1,1
56.7662,65.09166,1,1,8.451643,2.4773548,1,1
57.050995,65.25432,1,1,11.185872,3.2098918,1,1
56.580967,65.377235,1,1,11.448571,3.4701195,1,1
56.287163,65.508354,1,1,9.922145,2.8867958,1,1
56.891224,65.00529,1,1,11.823487,3.1939924,1,1
55.96246,65.098854,1,1,11.149223,3.6133368,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.424526,65.07628,1,1,7.638302,2.275699,1,1
-14.988015,-6.9968476,3,3,9.181976,1.9977196,1,1
56.856644,64.831154,1,1,8.315498,2.165573,1,1
56.716087,65.42857,1,1,9.156841,2.995923,1,1
56.203964,65.18723,1,1,10.809112,3.2576547,1,1
56.66146,65.187004,1,1,9.876973,2.5771968,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.79653,65.59353,1,1,11.07922,3.300292,1,1
56.2844,65.35058,1,1,9.739585,2.606933,1,1
56.180943,65.51791,1,1,8.6946,2.8600712,1,1
56.22872,64.75691,1,1,9.671394,2.4001276,1,1
56.828003,65.051346,1,1,11.827699,3.292573,1,1
56.384727,65.07668,1,1,11.9102,3.8642335,1,1
56.518986,65.01225,1,1,8.78432,2.2927785,1,1
56.31064,65.55867,1,1,10.608815,3.1797397,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.43007,65.15165,1,1,11.239903,2.975187,1,1
56.502106,65.39408,1,1,10.3299265,2.705219,1,1
56.383312,65.19265,1,1,11.473169,3.6069794,1,1
56.29117,65.459465,1,1,10.423706,2.9325728,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.273613,64.967514,1,1,10.683619,2.6759522,1,1
56.892647,65.695305,1,1,11.800785,3.983668,1,1
56.433495,65.38041,1,1,11.031835,3.2749975,1,1
56.493813,64.591385,1,1,11.258074,2.821179,1,1
56.649666,64.96569,1,1,10.130897,2.5130243,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.64632,64.298775,1,1,10.333014,1.8127449,1,1
56.004604,64.747574,1,1,10.491295,2.267749,1,1
57.101597,65.14834,1,1,11.5852585,3.278024,1,1
57.16034,65.59734,1,1,11.619342,3.1722295,1,1
56.589848,65.0424,1,1,7.685675,2.3676438,1,1
56.934055,65.18245,1,1,12.486272,3.7213426,1,1
-20.939428,-11.818869,3,3,-1024.0,-1024.0,0,0
56.29462,65.14702,1,1,8.284255,2.5628073,1,1
-1024.0,-1024.0,0,0,10.910205,2.610301,1,1
56.70127,65.99318,1,1,10.531334,3.3781896,1,1
-1024.0,-1024.0,0,0,-10.211421,3.6383042,2,1
56.388874,64.93554,1,1,8.023693,2.4737887,1,1
57.085308,65.59847,1,1,12.430178,4.076298,1,1
56.41708,64.966446,1,1,11.268155,3.1640038,1,1
56.24813,64.57748,1,1,10.816253,2.6277251,1,1
56.783215,65.490746,1,1,11.9335165,3.7515945,1,1
56.66166,64.82004,1,1,7.789354,2.299543,1,1
56.44822,65.27876,1,1,9.0536585,2.5641263,1,1
55.950714,65.635056,1,1,9.509566,2.7866278,1,1
56.74018,65.00131,1,1,10.145623,2.6165342,1,1
-1024.0,-1024.0,0,0,9.742713,4.0241256,1,1
56.558533,65.173325,1,1,10.211438,2.3843403,1,1
56.588882,65.33735,1,1,8.569704,2.7590814,1,1
55.91132,65.04497,1,1,10.989314,3.1863601,1,1
57.020973,65.37524,1,1,11.944697,3.5893974,1,1
56.62774,64.92677,1,1,11.647188,3.1647015,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.532425,65.58148,1,1,10.269473,3.0327961,1,1
